@relation Train
@attribute Lemmatized string
@attribute subtask_c {IND,OTH,GRP}
@data
'legal immigrants 100% correct follow worked damn hard wont anything illegals contempt laws pull 24/7',IND
'liberals didnt want hear liberals dont want hear keith double standard',IND
'thats today dont know thought thinks everything wont able forget horrible things done',IND
'complaining comments blames media feeling certain actually reading article basically saying doesnt know shit basically shut mouth',IND
'didnt raped daughters friend years long committed suicide',IND
'witch',IND
'traitor whoever',IND
'louder fellow #maga horrible insulting',IND
'idiots actually listen sucks',GRP
'hillary clinton',IND
'swear seems shit show fans hospital heart attacks',IND
'live utter conservatives nothing people living social housing look &amp need speak louder words &amp tory words empty promises',GRP
'name calling disabled shame know subject making',IND
'hate much president',IND
'blind fool make america great america first americans understand difference people voted donald trump clown_face obama policies complete failure lets seat back clown_face show starting obama',OTH
'know know going choose daughter wanted hope',IND
'farrakhan white people blue devils even said',GRP
'carrey looking every',IND
'fuck complete morons',IND
'thats lindsey uses butt hole',IND
'fuck',IND
'least dollars american people people full hatred american people cant trusted look people trusted died',IND
'another story watching football',IND
'United_States #lockthemallup #wwg1wga United_States #greatawakening #winning #qanon #maga knows going',IND
'drugs shit taxes unconstitutional control laws',GRP
'never watch movies',IND
'election tell antifa expose',IND
'proves liberals shame proven liar nerve speak',IND
'devil made ugly face liberals feel sorry innocent honest ones brainwashed',GRP
'dems kavanaugh hearings bring common sense control time time chicago chicago laws country violence capital dick',GRP
'lump',IND
'carrey becoming weird',IND
'dogs',GRP
'apparently socialist kind label successful much higher morals society dumbest followers',GRP
'#lockthemallup #maga',IND
'left liberal progressive show democrat party deny &amp ideology lying public calling',IND
'ridiculous going vote point',IND
'said theyre trying prove everyone nothing offer tells everything fans target know good good threat called',IND
'playing young minds thinks attempt stop disgraceful vile honest doesnt care uses wants',IND
'world doesnt stop liberals wanna process delay costs',GRP
'didnt want till thrown jail according #liberals &amp #metoo accept allegations said',IND
'money better spent american mental health control concert shooting church',OTH
'pretty awesome movement imagine rights fucked everyone bullshit kids fucking better',GRP
'fuuckkkk youuuuu',IND
'shut fuck seriously fucking life leave alone many time fucking tell clearly dont fucking',IND
'democrat years power remember women well liberals hypocrites worst kind',GRP
'person think fucking kind antifa',IND
'putting antifa',OTH
'show mass shooter problem taking active shooter open carry black panthers liberals time took away',GRP
'#conservatives claiming ford making false accusations supporting time level stupidity',IND
'antifa socialists pussy hats resist face_with_tears_of_joy rolling_on_the_floor_laughing face_with_tears_of_joy',GRP
'love bitch',IND
'deal youth opposite kids going assume experience knows talking',GRP
'guess forgot walk liberal',IND
'spreading #fakenews #maga',OTH
'liberals took',IND
'hate year fans',IND
'another missing idiot face_with_rolling_eyes',IND
'false democrats best #confirmkavanaugh #maga #drainthedeepstate',GRP
'right shoot dont exposed satan must really good laugh',GRP
'students murdered blames control laws',GRP
'fake',IND
'youre embarrassment kicked',IND
'sexy lady',GRP
'cool',IND
'know means dont three times means bullies done player done culture country',IND
'another fraud woman lying help liberal anything keep conservatives majority scotus',GRP
'boring thank fuck',IND
'said thats bitch loudly_crying_face',IND
'free dead serious dont call talking come cause block',IND
'crap liberals disgusting',GRP
'fucking',IND
'thought last part plan china mexico #maga #lockthemallup #confirmkavanaugh #wwg1wga',OTH
'away irrelevant',IND
'didnt woman young next hypocrisy',GRP
'piece shit',IND
'sure woke wanting fuck might antifa super something',IND
'really hope dont block next want reaction kavanaugh gets confirmed supreme court control dead',IND
'bring race real racist democrats liberals',GRP
'thats',IND
'stop lying liberals said absolutely nuts',GRP
'either either fraud false memory raped never forget',IND
'whine whine whine #maga baby',IND
'mueller told either prison life coming #maga #drainthedeepstate #confirmkavanaugh',IND
'thats really insulting black conservatives believe garbage know read thats',GRP
'amazing piss progressives conservatives',GRP
'achichincle lamebotas',IND
'joke bully cant handle losing',IND
'thought left hated guns violence control right',IND
'fuckin great brother little girl stay trade',IND
'liar',IND
'already killing babies liberals afraid trumps supreme court taking away',GRP
'look socialist commie government universal health care bigger government control free american',IND
'simply disagree behavior husband actions country words matter style matters truth matters',OTH
'&amp control dems started hated blacks started control stop victims #gunsense ownership liberals truth',OTH
'dont racist though throwing serena williams pull maybe shes racist thats sees',IND
'becoming court senate',GRP
'done calling',IND
'communists liberals communists instead',GRP
'puerto rico mayor stop work done back',IND
'stop blatant conservatives theresa didnt back feet least worst leader along worst government country',OTH
'still religious conservatives hopefully beto getting bunch voters polls dont',GRP
'lots people think antifa violent dont understand theyre opposing biggest thing year right white killed someone several people attacked',IND
