@relation Train
@attribute Porter string
@attribute subtask_c {IND,OTH,GRP}
@data
'ridiculous going vote point',IND
'said theyre trying prove everyone nothing offer tells everything fans target know good good threat called',IND
'playing young minds thinks attempt stop disgraceful vile honest doesnt care uses w',IND
'world doesnt stop liberals wanna process delay cost',GRP
'didnt want till thrown jail according #liberals &amp #metoo accept allegations said',IND
'money better spent american mental health control concert shooting church',OTH
'pretty awesome movement imagine rights fucked everyone bullshit kids fucking bett',GRP
'fuuckkkk youuuuu',IND
'shut fuck seriously fucking life leave alone many time fucking tell clearly dont fuck',IND
'democrat years power remember women well liberals hypocrites worst kind',GRP
'person think fucking kind antifa',IND
'putting antifa',OTH
'show mass shooter problem taking active shooter open carry black panthers liberals time took away',GRP
'#conservatives claiming ford making false accusations supporting time level stupidity',IND
'antifa socialists pussy resist face_with_tears_of_joy rolling_on_the_floor_laughing face_with_tears_of_joy',GRP
'love bitch',IND
'deal youth kids going assume experience knows talk',GRP
'guess forgot walk liberal',IND
'spreading #fakenews #maga',OTH
'liberals took',IND
'hate year',IND
'another missing idiot face_with_rolling_ey',IND
'false democrats best #confirmkavanaugh #maga',GRP
'right shoot dont exposed satan must really good laugh',GRP
'students murdered blames control law',GRP
'fake',IND
'youre embarrassment kick',IND
'sexy',GRP
'cool',IND
'know means dont three times means bullies done player done culture countri',IND
'another fraud woman lying help liberal anything keep conservatives majority',GRP
'boring thank fuck',IND
'said thats bitch loudly_crying_fac',IND
'free dead serious dont call talking come cause block',IND
'crap liberals disgust',GRP
'fuck',IND
'thought last part plan china mexico #maga #lockthemallup #confirmkavanaugh #wwg1wga',OTH
'away',IND
'didnt woman young next hypocrisy',GRP
'piece shit',IND
'sure woke wanting fuck might antifa super someth',IND
'really hope dont block next want reaction kavanaugh gets confirmed supreme court control dead',IND
'bring race real racist democrats liber',GRP
'thats',IND
'stop lying liberals said absolutely nut',GRP
'either either fraud false memory raped never forget',IND
'#maga babi',IND
'mueller told either prison life coming #maga #drainthedeepstate #confirmkavanaugh',IND
'thats really insulting black conservatives believe garbage know read that',GRP
'amazing piss progressives conservatives',GRP
'achichincle lamebota',IND
'joke bully cant handle los',IND
'thought left hated guns violence control right',IND
'fuckin great brother little girl stay',IND
'liar',IND
'already killing babies liberals afraid trumps supreme court taking away',GRP
'look socialist government universal health care bigger government control free american',IND
'simply disagree behavior husband actions country words matter matters truth matt',OTH
'&amp control dems started hated blacks started control stop victims #gunsense ownership liberals truth',OTH
'dont racist though throwing serena williams pull maybe shes racist thats',IND
'becoming court sen',GRP
'done calling',IND
'communists liberals f*ck communists instead',GRP
'puerto rico mayor stop work done back',IND
'stop blatant conservatives theresa didnt back feet least worst leader along worst government countri',OTH
'still religious conservatives hopefully beto getting bunch voters polls dont',GRP
'lots people think antifa violent dont understand theyre opposing biggest thing year right white killed someone several people attack',IND
'aw',IND
'school well mentioned point name someone holding #maga #kavanaugh',GRP
'tell idiot religion book arrest sick needs alive dont sens',IND
'face_with_tears_of_joy rolling_on_the_floor_laughing funny liberals terms exactly terms used conservatives liberals election still lmao never seen grown bloody murder potus face_with_tears_of_joy face_with_tears_of_joy',GRP
'wonder still love drug dealing worked',IND
'collis',IND
'shes good comedian money daddy bone',IND
'think theyre trying funny either total fucking disgrace',GRP
'people died chicago stupid sound idiot',IND
'hell fuckin',IND
'david calling resign irresponsible statement needs resign unfit hold position',IND
'lindsey never sink rest hateful liber',IND
'lying liber',IND
'bunch isnt even gone shame hope left every star brain family battle',IND
'nice #liberals #democrats living free heads sweet never good #maga #walkaway',GRP
'couldnt find doesnt narrative coward',OTH
'isnt going help sleep help feel better shitting mean sleeping',GRP
'grow',IND
'think meant sent jail fraud',IND
'love',IND
'“the lmaooo bitch youre fuck tryna fight',GRP
'mean bernie assholes hom',IND
'talks shit chicken dude chicken',IND
'broke story miss ford assaulted #votedemsout stop whats wrong #kavanaugh #maga #metoo politics',OTH
'even',IND
'thats amazing wanna',IND
'worries antifa still live parents',IND
'dogsh',IND
'cops shot countries control',OTH
'fuck cunt',IND
'better',IND
'fucking good',IND
'huge fuck part',IND
'illegal immigrants human beings trump supporters maga ms13 killers fear human beings womb business antifa jobs abiding members terrorists bill clinton crush',IND
'country people abuse done books coward',IND
'title book pretty much conversation either criminal really mentally incapable understanding facts brainwash',IND
'music suck',IND
'david election time exactly worst &amp &amp contempt',IND
'carrey',IND
'reading antifa utter garbag',IND
'doesnt give shit middle night',IND
'cowards masks antifa true fascist',GRP
'hypocrite back boss help need help',IND
'yeah poor conservatives eyes hear youre brain continue pretty soon next great kind make line resist',GRP
'thank internet person next time want shit head',IND
'lets',IND
'empty mind speak increase surely fool seen powerful times',IND
'stupid everyone knows',IND
'fear tactics make people attack bullshit',IND
'stupid argument control mak',IND
'give shot chris nasty play',IND
'antifa riot screaming white peopl',IND
'full',IND
'well dumb give pass',IND
'disgust',IND
'agree people trying change good luck lazy promoting good beautiful lazy simple',IND
'shut',IND
'tired liberals everywhere afraid money power paid sick keep work',IND
'thats antifa terrorists dont intelligent keep head safe',GRP
