@relation Train
@attribute SnowballStemmer123 string
@attribute subtask_a {NOT,OFF}
@data
'many antifa classes antifa member school',NOT
'world doesnt stop liberals wanna process delay cost',OFF
'voting well republicans thank fighting america appreciate #maga #keepamericagreat',NOT
'sentence ending outrage favorite joke yall bitch',NOT
'radical social media antifa type hang',NOT
'adorable smiling_face_with_heartey',NOT
'didnt want till thrown jail according #liberals &amp #metoo accept allegations blindly said #democratshateamerica',OFF
'disgusting sounds absolutely right think even liberals starting realize political gam',OFF
'friend always looking blue_heart yeah doctor dealt earlier wouldnt tell anything basically threw assume means thinking possibly chest ey',NOT
'sparkles venezuela',NOT
'twitt',NOT
'weeks sorry turned didnt cant around saying isnt politically motivated care sexual abuse please ahead believing liberals another sheep',NOT
'hogg mass shooting long range shooting incident usually close range inside building area thats free zone shooting fish barrel rare mass shooting events vegas except',NOT
'100% right successful send right message said inability voter photo evidence party voted vote buying party waste money approach zero',NOT
'cool that',NOT
'considering puerto rico didnt island wondering left brain year probably trump',NOT
'thinking_face thinking_face hang plus face_with_tears_of_joy face_with_tears_of_joy',NOT
'antifa hiding fac',NOT
'boycott nik',NOT
'money better spent american mental health control sandy hook vegas concert shooting church',OFF
'means step closer getting',NOT
'last week still owes much life list',NOT
'pretty awesome movement imagine mens rights fucked woods everyone bullshit messed kids fucking bett',OFF
'fuuckkkk youuuuu',OFF
'professors liberal colleges &amp antifa night',NOT
'shut fuck seriously fucking life leave alone many time fucking tell clearly dont fuck',OFF
'strong character corrupt house cards falling fast matter tim',NOT
'ironic anti amendment want activist verify control anti',NOT
'much money conservatives promised housing last years many houses actually built promises dont',NOT
'democrat years power remember women well liberals hypocrites worst kind',OFF
'soldiers antifa kil',NOT
'thanks stock need order pick days',NOT
'person think fucking kind antifa',OFF
'shit last night',OFF
'100% right pissing wall height',NOT
'amazing talented hope amazing night two_hearts sparkling_heart',NOT
'putting antifa pardon',OFF
'show supporter mass shooter problem taking active shooter growing open carry black panthers liberals time took away',OFF
'show maga',NOT
'imagine divorce case hadnt murdered honor evidence book details planning kil',NOT
'vote maga',NOT
'history judge well #qanon',NOT
'#conservatives joining claiming christine blasey ford making false accusations supporting time level stupidity',OFF
'need rico investig',NOT
'sexy without even tri',NOT
'#antifa loud mouth #democrat',NOT
'dude babe dress',NOT
'antifa socialists hearts sunshine pussy hats resist face_with_tears_of_joy rolling_on_the_floor_laughing face_with_tears_of_joy',OFF
'support',NOT
'love bitch',OFF
'propose ward deal youth opposite gender kids going assume experience knows talk',OFF
'guilty proven innoc',NOT
'guess forgot walk liberal',OFF
'spreading #fakenews #maga',OFF
'liberals cant stand face_with_tears_of_joy',NOT
'obama clinton',NOT
'remember game fucking start',NOT
'liberals took',OFF
'children died result bert ernie hope happy conserv',NOT
'hate year',OFF
'world knows right wing extremists responsible terror attacks leave people actually dead groups fact remind case anyone dying antifa solid ground',NOT
'called',NOT
'liberal anarchist coup detat gang runs &amp nothing liberals prove biggest hate group media duly elected president united states 24/7 antifa openly advocates killing cops sil',NOT
'honestly hope games point gets game world imagine worlds truly character someone looking screen',NOT
'another missing idiot face_with_rolling_ey',OFF
'australian control',NOT
'problem corporate spending millions conservative causes instance nike plan spending hundreds thousands measure billionaires spending millions curb rights washington',NOT
'false democrats best #confirmkavanaugh #maga',OFF
'right shoot dont exposed satan must really good laugh',OFF
'professors students murdered connecticut rifle blames control law',OFF
'buying global crap liberal position exactly killing canada right please lose truly want party succeed dont liberals makes look liberal',NOT
'somewhere real reason control first pushed keep guns minorities hand',NOT
'wont elected either beto',NOT
'fake',OFF
'held majority house senate still obama said elections consequences might want thank harry every senator voted',NOT
'truth control human nature pictur',NOT
'nails conservatives must stop democrats winning midterms backhand_index_pointing_down backhand_index_pointing_down backhand_index_pointing_down',NOT
'please stop nice lying liberals vote please used dems',NOT
'gonna surprised find good #maga #qanon #wwg1wga',NOT
'another tactic leftist good conserv',NOT
'youre embarrassment kick',OFF
'sexy ladi',OFF
'havent clue talking cant even tell difference real nazi freedom loving minor',NOT
'cool',OFF
'dont know',NOT
'nobody racism',NOT
'feel attacked face_with_tears_of_joy',NOT
'right awful even consider issue pray famili',NOT
'maybe florida needs tougher control',NOT
'requires #dems conservatives tr',NOT
'know means dont three times means acceptable bullies done player done culture countri',OFF
'give pounds',NOT
'spot thanks creepy spreading',NOT
'another fraud woman lying help liberal anything keep conservatives majority scotus',OFF
'boring thank fuck',OFF
'said thats hating bitch loudly_crying_fac',OFF
'free dead serious dont call talking come cause block',OFF
'legend says never actually phone still reach',NOT
'almost liberals wont insult defense agenda',NOT
'argument used successfully lobby sure outside normal conversation probably country buys control whats difference womens lobby us',NOT
'maybe shes dont enough getting much work height period always told much work long victim points criticism work off',NOT
'crap spewed liberals disgust',OFF
'screaming officials throwing racket',NOT
'nice trump supporters tell believe great without comparing every criminal history american polit',NOT
'please tell viewers caused biggest fall number affordable homes going solve crisis caus',NOT
'really good things granted didnt watch bills games didnt feeling hopefully right play wel',NOT
'fuck',OFF
'kind thank peac',NOT
'thought last part plan china mexico #maga #lockthemallup #confirmkavanaugh #wwg1wga #patriotsunited',OFF
'away irrelev',OFF
'happening lost',NOT
'lets tear liberals dont make sens',NOT
'didnt woman young next hypocrisy celebrity',OFF
'antifa masked hater norm',NOT
'piece shit',OFF
'always lovely wonderful biggest hearts thank much',NOT
'energy',NOT
'clearly durbin lived rock eight year',NOT
'seriously guess comedy easier tried shit',OFF
'stage pain terrorist hunt lov',OFF
'red_heart beloved red_heart',NOT
'sure woke wanting fuck might antifa super soldier someth',OFF
'important story business growth limitations historically unemployment r',NOT
'finger authority figures hmmm serena definition bully court tantrums players appears',NOT
'really hope dont block next monday want reaction kavanaugh gets confirmed supreme court control dead',OFF
'bring race real racist democrats liber',OFF
'diabetic zippermouth_fac',NOT
'thats',OFF
