@relation Train
@attribute Lancaster string
@attribute subtask_a {NOT,OFF}
@data
'term negative knowledge knowledge away information goes reverse away',OFF
'love liberals deal',OFF
'thats fucking rude',OFF
'informed process takes business days transfer credit card active cards zany_face people',OFF
'lib',OFF
'white murder conservatives mentally immigrant murder blame religion smear entire nation people bigotry',NOT
'system controlled liberals works minds children mental must removed order save future great nation united_states',OFF
'happen know study quran using film',NOT
'gonna death',OFF
'using product years find youre actively political power action directly affected attempting damage personally dont',NOT
'clubs money dont houses cars money make actually sure serious kids every year thats money think face_with_tears_of_joy face_with_tears_of_joy',NOT
'think means dont think talking talking destructive youth sports jumping conclusions dont think though',NOT
'radicalism supporting socialism antifa windows rioting specific',NOT
'well said clapping_hands_mediumlight_skin_tone clapping_hands_mediumlight_skin_tone clapping_hands_mediumlight_skin_tone clapping_hands_mediumlight_skin_tone clapping_hands_mediumlight_skin_tone clapping_hands_mediumlight_skin_tone clapping_hands_mediumlight_skin_tone thick',NOT
'radical left antifa victim culture hate speech free speech limited guns cities illegals rights open borders trump derangement syndrome voting party platform feelings facts',NOT
'everyone knows political stunt going make justice kavanaugh midterm elections whether liberals thats whats going happen need accept right youre still denial',NOT
'thumbs_up cant watch town destroyed liberals used tactics destroy small mighty rolling_on_the_floor_laughing',NOT
'beautiful inside outside loves ride',NOT
'dont learn truth confirmed later details case learned',NOT
'conservatives think know everything',NOT
'explains #maga',NOT
'forgot presid',NOT
'honestly people seriously delusional good thing majority fans educated',OFF
'still anonymous writer oped times sept times #potus refused name writer crap within #trump camp #maga',OFF
'eyes fucking louder words smiling_face_with_hearteyes smiling_face_with_hearteyes purple_heart purple_heart',OFF
'#thursdaythoughts admit ways twitter conservatives seems highly unlikely annoying main feed limited stupid black bird return wont even back morning',OFF
'active shooter several stand waiting police clear building #maga #trumptrain',NOT
'correct dont either thankful longer office',NOT
'real saint least trump world know probably argument think face_with_tears_of_joy',NOT
'give better term someone change view control defend bernie rather admit record awful',NOT
'surprised know liberals sacrifice children virtue signaling',NOT
'done going higher trusted youve proven integrity best pretty',NOT
'quite powerful',NOT
'shame tennis stole serena proven draw racists cant',OFF
'supported control reagan governor california black people began buying guns',NOT
'stupid people tell cause bitch football games walks class literally everything knows exact numbers everything reasons competition cause aint',OFF
'antonio believe vote family thats enough tell help campaign state going drain life support something must done lunatic liberals destroy',NOT
'didnt start conversation trash talked ship yall petty stay mention',OFF
'#tories #labour #ge2017 #conservatives conservatives pakistan foreign today agreed improve &amp',NOT
'antifa getting shot brings',NOT
'used means making sign means okay joke libs bite video back apologize liberals insane liberalism mental disorder',NOT
'relate completely',NOT
'totally follow whack dangerous thank united_states',OFF
'never trust especially sold stuck people',NOT
'doesnt matter gave year',NOT
'agreed great idea wish remove existence #maga #patriotsunited #prolife',OFF
'guess wont shut major problem situation none word assume telling truth politic',NOT
'super super statement saying goes every economic biggest reasons increased freedom movement feel taxpayers look debt first migrants',NOT
'discussion friend works families expecting increase coming months days work money spent hurricane supplies',NOT
'amount shit fuck',OFF
'possible california implemented strict control enforcement enough permit carry public banned',OFF
'maybe something little recent help',NOT
'foot country sense feel happening ground (except watching watching football claiming understand players going physically sitting couch eating chips',NOT
'least honest lmao',NOT
'seriously maga creepy taste rest know plus great hair side',NOT
'realize california strictest control nation right going',NOT
'never pope first place',NOT
'many corrupt evil beings hold govt positions much corrupt &amp evil beings positions &amp majority point left fake conservatives &amp cronies still walking free',OFF
'platform',NOT
'voter puerto rican decent doesnt white liberals',OFF
'talking brett trouble doesnt make move',NOT
'worst creepy',NOT
'love trump wanted something liberals democrats talk hearing',NOT
'whenever yall going think stage left',NOT
'real shit',OFF
'trust jesus hand bless',NOT
'agreed administration immigration told king racist base whistle',NOT
'want conservatives plan even consider climate change using blatant lead people believing trudeaus fault negotiating fucking sociopath south',OFF
'year female left outside gone part family miss please anyone information feel free contact',NOT
'dude want #deepstate documents kept secret #maga',NOT
'conspiracy nuts',OFF
'worried bottom line thats',NOT
'chris hall liberals fall strategy wall named leona alleslev',NOT
'creepy #walkaway',NOT
'really impact decided #maga',NOT
'deserve anger today conservatives corbyn',NOT
'forgot tell slavery democrats conservatives',NOT
'stop lying isnt involved cause theres investigate liberals delay kavanaugh confirmed rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing face_savoring_food face_savoring_food',NOT
'conservatism #antifa',NOT
'crying face_with_rolling_eyes',NOT
'believe control',NOT
'paid democrats antifa paid clinton soros',NOT
'disgraceful innocent proven guilty happen lying',OFF
'whatever problem strong enough overcome gets easier everyday',NOT
'knows rock orange orange',NOT
'hope acted spoiled brat',NOT
'liberals turned everything ring',NOT
'acted spoiled elitist brat point taken away deserved good enough today shouldnt icon women seen sports move',OFF
'epitome beauty',NOT
'know control worked refuse anything',OFF
'everything said exactly need control saving lives nothing matters saving lives people shape second amendment right crying feelings away coward guns away coward',OFF
'piss',OFF
'liberals jump dont believe process innocent proven anti american bunch',OFF
'dont care right left back bitch star office good',OFF
'angelpurple_heart',NOT
'antif',NOT
'ugly hell something anybody wants look',OFF
'prison',NOT
'best',NOT
'join',NOT
'united_states sale #usa #maga #americafirst #trump',OFF
'bruh times dropped kicked back feet caught aint face_with_tears_of_joy',OFF
