@relation Train
@attribute Porter string
@attribute subtask_b {UNT,TIN}
@data
'conservatives believe attempted rape form thats getting look past wont believe',TIN
'fuck',UNT
'youre full liberals paid soros th',TIN
'area didnt money attempt money proved isnt scam',TIN
'thats exactly evil liberals people step guess bullying done liber',TIN
'course shes making money situation values',TIN
'move ahead kavanaughs without legal constitution &amp horrible says wait info &amp sur',TIN
'fuck cover american politics canadian politics fucking disgrace report news news stuff makes conservatives look ignore stuff makes liberals look',TIN
'years later liberals wants away',TIN
'nigga peace damn',TIN
'holy shit michael',UNT
'yeah ruin fucking hype werent',TIN
'fuck',UNT
'wonder antifa streets find corrupt govern',TIN
'thats silly made popular fuck',TIN
'well ignore giving attention child never good enough body love attention post',TIN
'glad wear control stop crimin',TIN
'zero evidence love seeing liberals shit face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy',TIN
'democrats funding goes around thats done conservatives play rules fucked every tim',TIN
'lock wait blatant somebody scared trump gets hang cant imagine feeling makes',TIN
'question argument sensible control another shooting truly believe push',TIN
'liberal illegal immigrants dreamers trump supporters deplorable dregs ms13 killers human beings babies womb human beings abiding terrorists bill clinton feminist brett mental',TIN
'liberals sick peopl',TIN
'another attempt dems hide truth abuse women movement women #metoo another soros groups antifa',TIN
'antifa burn conservatives house &amp throwing',TIN
'played straight fucking garbage mean last year much scared death start',TIN
'understand sound love money bastards',TIN
'#democrats #liberals dont give damn violence discredit kavanaugh year hour accusation #walkaway',UNT
'#votedemsout #voteredtosaveamerica liberals &amp true #conservatives &amp #walkaway prove needs',UNT
'thats liberals morals anything goes kind drugs child',TIN
'arrest crazy democrat',TIN
'dont mess dont mess',TIN
'cruz thinks voters stupid says beto state texas #resist #maga',TIN
'right politics place l',TIN
'good thats fine control',UNT
'truly said american',UNT
'fuck disgusting animals shit',TIN
'show getting tories ridiculous',TIN
'pretending libs #maga',TIN
'holy shit thank much mine wasnt anymore ended wrong',UNT
'think blame control',TIN
'crap anyone want save crap',TIN
'loud maga merch dont shit nike anything kiss',TIN
'really wanna bring personal work dont wanna seem apple',TIN
'cant stand listen change speaks believes nuts #walkaway #voteredtosaveamerica united_states united_states #maga united_states united_st',TIN
'come long line bigots morons hard first gets better fill decent realize bett',TIN
'comparing government enforcement subject constitutional laws private yeah makes sense wait stop talking complete',TIN
'',TIN
'unhinged going conservatives making money process smart knows &amp liberal left good business days &amp',TIN
'love',TIN
'another anything',TIN
'#liberals continue shows dont mentally',TIN
'everything shit r',UNT
'every time hate feeling happens fuck',TIN
'didnt read whole thing white mass arent even considered theres agenda murder',TIN
'rolling_on_the_floor_laughing rolling_on_the_floor_laughing face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy communist fool',TIN
'funny things trying show white republicans storm entire left self days help trump fake presid',UNT
'antifa behaviour',TIN
'cares leader report lefty left promoting trudeau liberals liberal party sham',TIN
'democrats left liberal judges conservatives throat every liberal judge investigated back school',TIN
'never never know truth maybe first really stupid grab either doubt know complete truth',TIN
'rest lif',TIN
'terribl',TIN
'amazing much money thrown liberals freaking beto everything wrong america vote cruz',TIN
'forget monster think',TIN
'bono turn refugees asshol',TIN
'nothing lying human waste paid left turn',TIN
'yeah sure youll wait certain amount time talking control right sure youre saying thing people using dead push laws nothing right',TIN
'likely political dream many working towards',UNT
'biden thats phony actor stage time come &amp gone care less preach',TIN
'nigga',TIN
'president liber',TIN
'hopefully hate leftist stop saying stupid stuff',TIN
'legal immigrants 100% correct follow worked damn hard wont anything risk illegals contempt laws pull 24/7',TIN
'liberals didnt want hear liberals dont want hear keith double standard',TIN
'eric need stfu away many americans died result fast furious running gone eric even despic',UNT
'thats today dont know thought thinks everything wont able forget horrible things',TIN
'complaining comments blames media feeling certain actually reading article basically saying doesnt know shit basically shut mouth',TIN
'fuck hard',UNT
'didnt raped daughters friend years long committed',TIN
'witch',TIN
'thinking someone trying peoples minds regarding control arms shoot start',UNT
'fucking',UNT
'traitor',TIN
'louder fellow #maga horrible insult',TIN
'idiots actually listen suck',TIN
'hillary clinton',TIN
'swear seems shit show fans hospital heart attacks',TIN
'live utter conservatives nothing people living social housing look &amp need speak louder words &amp tory words empty',TIN
'name calling disabled shame know subject making',TIN
'gonna call bullshit',UNT
'hate much presid',TIN
'blind fool make america great america first americans understand difference people voted donald trump obama policies complete failure lets seat back show starting obama',TIN
'know know going choose daughter wanted',TIN
'farrakhan white people blue devils even said',TIN
'carrey looking',TIN
'fuck complete moron',TIN
'thats lindsey uses butt',TIN
'fuck',TIN
'least dollars american people people full hatred american people cant trusted look people trusted',TIN
'another story watching football',TIN
'think really knows',UNT
'united_states #lockthemallup #wwg1wga united_states #winning #qanon #maga knows going',TIN
'drugs shit taxes board unconstitutional control law',TIN
'never watch movies',TIN
'election tell antifa expose',TIN
'proves liberals shame proven liar nerve speak',TIN
'devil made ugly face liberals feel sorry innocent honest ones brainwash',TIN
'dems kavanaugh hearings bring common sense control time time chicago chicago laws country violence capital dick',TIN
'lump',TIN
'carrey becoming weird',TIN
'less access guns suicide rates proven looking every single country strict better control want prove countri',UNT
'water physically born obviously blood paid',UNT
'dogs',TIN
'apparently socialist kind label successful much higher morals society dumbest follow',TIN
'#lockthemallup #maga',TIN
'left liberal progressive show democrat party &amp ideology lying public calling',TIN
'ridiculous going vote point',TIN
'said theyre trying prove everyone nothing offer tells everything fans target know good good threat called',TIN
'playing young minds thinks attempt stop disgraceful vile honest doesnt care uses w',TIN
'world doesnt stop liberals wanna process delay cost',TIN
'didnt want till thrown jail according #liberals &amp #metoo accept allegations said',TIN
