@relation Train
@attribute Lemmatized string
@attribute subtask_b {UNT,TIN}
@data
'#metoo ruined hateful democrats disgusting ruin everything touch #voteredtosaveamerica #maga',TIN
'unfortunately real democrats feel blacks socialism making citizens government conservatives never happen kind treason amendment',TIN
'mental case sure',UNT
'tells minions says rest world different things keep raping killing stupid liberals think dont taken lies next years india',TIN
'hell yeah',TIN
'risking',TIN
'democrats becoming despicable bottom lies liberals along makes sense',TIN
'right anymore nonsense going keep following others dangerous society biggest fake going proved rest antifa bloody dangerous',TIN
'trash',TIN
'breatge kpop stan nigger',TIN
'rats pulling anita hill judge kavanaugh confirmation work communists destroy #maga',TIN
'troll simply dumb love rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing rolling_on_the_floor_laughing',TIN
'hillary blaming women long better hope uneducated dont show vote isnt much liberals ignorant know many things arent',TIN
'support bomb',TIN
'fuck right ends',TIN
'#trump despicable behavior human #maga',UNT
'really sucks liberals refugees anyone isnt uses dollars',TIN
'thats blatant antifa worse hate group look university california nearly destroyed wasnt white supremacy free speech',TIN
'slap shit',TIN
'listen robbed american taxpayers millions dollars gave iran',TIN
'well better looking lying lawyer',TIN
'hate really takes people physically unhinged liberals look well 24/7 fake news sucking life people feel',TIN
'presidents president',TIN
'didnt look next fucking',UNT
'yeah control uses black people',TIN
'found today jesus isnt white cant church cant watch football damn obama liberals',TIN
'happens next whoever votes gets destroyed vote republicans senate liberals worst nightmare',TIN
'sucks asked play never back suck',TIN
'liberals rules time',TIN
'liberals dont give rats power period everything doesnt',TIN
'must forced church needs bottom',TIN
'#republicans #conservatives step confirm predator scotus judge step eliminate womens choice step eliminate whites voting rights step eliminate womens voting rights step immigration',TIN
'dont support medicare voted dreamers voted racist police bill voted give donald trump even military budget didnt thing control voted racist bill',TIN
'doesnt matter said correct anyone stupid life families lives jeopardy based fool',TIN
'feinstein political thank able give conservatives need back hard political criminals',TIN
'active know think dangerous fool maybe 100% racist military support',TIN
'insulting black fully getting makes think cant lets honest liberals white want protecting votes',TIN
'&amp thats dont mind people everyone life',TIN
'miriam',TIN
'cant fact delusional think something effect country come first illegals',TIN
'hate argument control healthcare student policy climate change social security medicare even clear difference every policy',UNT
'dumb looks',TIN
'case fucked good book',TIN
'something different shit every time watch',UNT
'(and shit eric',TIN
'clown_face',TIN
'hate democrats fight everyday making much dont give damn want ready #maga party trump elected 2020 keep democrats till 2020',TIN
'story lying liberals thinking_face',TIN
'conservatives believe attempted rape form thats getting look past wont believe nonsense',TIN
'fuck',UNT
'youre full liberals paid soros things',TIN
'area didnt money attempt money proved isnt scam',TIN
'thats exactly evil liberals people step guess bullying done liberals',TIN
'course shes making money situation values power',TIN
'move ahead kavanaughs without information legal constitution &amp horrible says wait info &amp sure',TIN
'fuck cover american politics canadian politics fucking disgrace report news news stuff makes conservatives look ignore stuff makes liberals look',TIN
'years later liberals wants away',TIN
'nigga peace damn',TIN
'holy shit michael',UNT
'yeah ruin fucking hype werent',TIN
'fucking',UNT
'wonder antifa streets find corrupt government',TIN
'thats silly made popular fuck',TIN
'well ignore giving attention child never good enough body love attention posts',TIN
'glad wear control stop criminals',TIN
'zero evidence love seeing liberals shit face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy',TIN
'democrats funding goes around thats done conservatives play rules fucked every time',TIN
'lock wait blatant somebody scared trump gets hang cant imagine feeling makes',TIN
'question argument sensible control another shooting truly believe push',TIN
'liberal illegal immigrants dreamers trump supporters deplorable dregs ms13 killers human beings babies womb human beings abiding terrorists bill clinton feminist brett mental disorder',TIN
'liberals sick people',TIN
'another attempt dems hide truth abuse women movement women #metoo another soros groups antifa',TIN
'antifa burn conservatives house &amp throwing',TIN
'played straight fucking garbage mean last year much scared death start',TIN
'understand sound love money bastards',TIN
'#democrats #liberals dont give damn violence discredit kavanaugh year hour accusation #walkaway',UNT
'#votedemsout #voteredtosaveamerica liberals &amp true #conservatives &amp #walkaway prove needs',UNT
'thats liberals morals anything goes kind drugs child',TIN
'arrest crazy democrat',TIN
'dont mess dont mess',TIN
'cruz thinks voters stupid says beto state texas #resist #maga',TIN
'right politics place lives',TIN
'good thats fine control double',UNT
'truly said american',UNT
'fuck disgusting animals shit',TIN
'show getting tories ridiculous',TIN
'pretending libs #maga',TIN
'holy shit thank much mine wasnt anymore ended wrong',UNT
'think blame control',TIN
'crap anyone want save crap',TIN
'loud maga merch dont shit nike anything kiss',TIN
'really wanna bring personal work dont wanna seem apple',TIN
'cant stand listen change speaks believes nuts #walkaway #voteredtosaveamerica United_States United_States #maga United_States United_States',TIN
'come long line bigots morons hard first gets better fill decent eventually realize better',TIN
'comparing government enforcement subject constitutional laws private yeah makes sense wait stop talking complete',TIN
'',TIN
'unhinged going conservatives making money process smart knows &amp liberal left good business days &amp eating',TIN
'love cute',TIN
'another anything',TIN
'#liberals continue shows dont mentally',TIN
'everything shit really',UNT
'every time hate feeling happens fuck',TIN
'didnt read whole thing white mass arent even considered terrorism theres agenda murder',TIN
'rolling_on_the_floor_laughing rolling_on_the_floor_laughing face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy face_with_tears_of_joy communist fool',TIN
